name,club,Position,Appearances,Goals,Shots,Assists,Passes,Crosses,Fouls,Offsides,Tackles,Interceptions,Clearances,Headed Clearance,Recoveries,Successful 50/50s,Headed goals,Shots on target,Big chances missed,Big chances created,Yellow cards,Red cards,Blocked shots,Tackle success %,Last man tackles,Errors leading to goal,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Cross accuracy %,Accurate long balls,age,height_cm,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,player_url,gpg,crosspg,ppg,apg,bspg,fpg,opg,tpg,ipg,clearpg,rpg,ffpg,bcpg,lbpg,aerial_win,duel_win,shot_accuracy,chances_missed
"frozenset({'Atsu', 'Christian'})",Newcastle United,Midfielder,33,2,40.0,3,520,59.0,10,7.0,19.0,14.0,21.0,10.0,119.0,32.0,0.0,13.0,3.0,7.0,1.0,0.0,12.0,95.0,,0.0,93.0,173.0,15.0,70.0,14.0,9.0,27.0,165.0,74.0,74.0,33000.0,86.0,67.0,68.0,77.0,34.0,45.0,https://sofifa.com/player/205601/christian-atsu/20/159586,0.06060606060606061,1.7878787878787878,15.757575757575758,0.09090909090909091,0.36363636363636365,0.30303030303030304,0.21212121212121213,0.5757575757575758,0.42424242424242425,0.6363636363636364,3.606060606060606,0.9696969696969697,0.21212121212121213,0.2727272727272727,0.17647058823529413,0.34962406015037595,0.325,0.075
"frozenset({'Pierre-Emerick', 'Aubameyang'})",Arsenal,Forward,14,10,32.0,4,337,17.0,1,11.0,5.0,3.0,7.0,2.0,,,0.0,19.0,6.0,1.0,0.0,0.0,7.0,,,,,,,,,,30.0,187.0,88.0,88.0,205000.0,94.0,85.0,75.0,80.0,37.0,69.0,https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586,0.7142857142857143,1.2142857142857142,24.071428571428573,0.2857142857142857,0.5,0.07142857142857142,0.7857142857142857,0.35714285714285715,0.21428571428571427,0.5,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.59375,0.1875
"frozenset({'Serge', 'Aurier'})",Tottenham Hotspur,Defender,17,2,,3,824,71.0,24,2.0,50.0,32.0,53.0,36.0,93.0,16.0,1.0,,,6.0,1.0,1.0,3.0,56.0,1.0,0.0,133.0,101.0,51.0,33.0,11.0,27.0,26.0,176.0,79.0,80.0,81000.0,77.0,59.0,73.0,76.0,77.0,76.0,https://sofifa.com/player/197853/serge-aurier/20/159586,0.11764705882352941,4.176470588235294,48.470588235294116,0.17647058823529413,0.17647058823529413,1.411764705882353,0.11764705882352941,2.9411764705882355,1.8823529411764706,3.1176470588235294,5.470588235294118,0.9411764705882353,0.35294117647058826,1.588235294117647,0.6071428571428571,0.5683760683760684,0.0,0.0
"frozenset({'Charlie', 'Austin'})",Southampton,Forward,82,32,224.0,6,1313,54.0,71,59.0,51.0,15.0,71.0,42.0,,,10.0,97.0,29.0,6.0,7.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,0.3902439024390244,0.6585365853658537,16.01219512195122,0.07317073170731707,0.8292682926829268,0.8658536585365854,0.7195121951219512,0.6219512195121951,0.18292682926829268,0.8658536585365854,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.4330357142857143,0.12946428571428573
"frozenset({'Jordan', 'Ayew'})",Crystal Palace,Forward,80,15,137.0,5,1875,107.0,129,24.0,136.0,54.0,30.0,17.0,,,3.0,48.0,7.0,7.0,9.0,2.0,49.0,,,,,,,,,,27.0,182.0,75.0,75.0,50000.0,76.0,74.0,70.0,76.0,45.0,72.0,https://sofifa.com/player/197756/jordan-ayew/20/159586,0.1875,1.3375,23.4375,0.0625,0.6125,1.6125,0.3,1.7,0.675,0.375,0.0,0.0,0.0875,0.0,0.0,0.0,0.35036496350364965,0.051094890510948905
"frozenset({'Pérez', 'Ayoze'})",Newcastle United,Forward,106,21,172.0,7,1886,148.0,103,31.0,134.0,81.0,58.0,23.0,,,2.0,65.0,12.0,15.0,7.0,0.0,37.0,,,,,,,,,,,,78.0,,,,,,,,,,0.19811320754716982,1.3962264150943395,17.79245283018868,0.0660377358490566,0.3490566037735849,0.9716981132075472,0.29245283018867924,1.2641509433962264,0.7641509433962265,0.5471698113207547,0.0,0.0,0.14150943396226415,0.0,0.0,0.0,0.37790697674418605,0.06976744186046512
"frozenset({'Azpilicueta', 'César'})",Chelsea,Defender,198,5,,20,10799,338.0,161,5.0,532.0,368.0,634.0,335.0,1009.0,48.0,1.0,,,19.0,18.0,1.0,15.0,77.0,2.0,0.0,999.0,688.0,314.0,265.0,22.0,507.0,29.0,178.0,84.0,84.0,145000.0,70.0,55.0,77.0,73.0,85.0,76.0,https://sofifa.com/player/184432/cesar-azpilicueta-tanco/20/159586,0.025252525252525252,1.707070707070707,54.54040404040404,0.10101010101010101,0.07575757575757576,0.8131313131313131,0.025252525252525252,2.686868686868687,1.8585858585858586,3.202020202020202,5.095959595959596,0.24242424242424243,0.09595959595959595,2.5606060606060606,0.542314335060449,0.5921754593953764,0.0,0.0
"frozenset({'Eric', 'Bailly'})",Manchester United,Defender,39,1,,0,1326,2.0,38,0.0,80.0,86.0,188.0,76.0,236.0,19.0,0.0,,,0.0,6.0,0.0,3.0,69.0,1.0,0.0,188.0,107.0,54.0,38.0,2.0,80.0,25.0,186.0,80.0,83.0,105000.0,76.0,42.0,58.0,62.0,79.0,80.0,https://sofifa.com/player/225508/eric-bailly/20/159586,0.02564102564102564,0.05128205128205128,34.0,0.0,0.07692307692307693,0.9743589743589743,0.0,2.051282051282051,2.2051282051282053,4.82051282051282,6.051282051282051,0.48717948717948717,0.0,2.051282051282051,0.5869565217391305,0.6372881355932203,0.0,0.0
"frozenset({'Leighton', 'Baines'})",Everton,Defender,407,32,,53,14386,2293.0,276,40.0,754.0,528.0,1010.0,288.0,1325.0,230.0,0.0,,,62.0,46.0,0.0,91.0,75.0,6.0,2.0,1615.0,1236.0,186.0,227.0,26.0,777.0,34.0,170.0,75.0,75.0,57000.0,56.0,68.0,77.0,75.0,76.0,59.0,https://sofifa.com/player/163631/leighton-baines/20/159586,0.07862407862407862,5.6339066339066335,35.34643734643735,0.13022113022113022,0.22358722358722358,0.6781326781326781,0.09828009828009827,1.8525798525798525,1.2972972972972974,2.481572481572482,3.2555282555282554,0.5651105651105651,0.15233415233415235,1.9090909090909092,0.45036319612590797,0.5664679059978954,0.0,0.0
"frozenset({'Fabián', 'Balbuena'})",West Ham United,Defender,1,0,,0,36,0.0,2,0.0,2.0,3.0,7.0,3.0,2.0,,0.0,,,0.0,1.0,0.0,0.0,100.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,27.0,188.0,79.0,82.0,76000.0,56.0,40.0,52.0,50.0,80.0,79.0,https://sofifa.com/player/228229/fabian-balbuena/20/159586,0.0,0.0,36.0,0.0,0.0,2.0,0.0,2.0,3.0,7.0,2.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0
