name,club,Position,Appearances,Goals,Shots,Assists,Passes,Crosses,Fouls,Offsides,Tackles,Interceptions,Clearances,Headed Clearance,Recoveries,Successful 50/50s,Headed goals,Shots on target,Big chances missed,Big chances created,Yellow cards,Red cards,Blocked shots,Tackle success %,Last man tackles,Errors leading to goal,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Cross accuracy %,Accurate long balls,age,height_cm,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,player_url,gpg,crosspg,ppg,apg,bspg,fpg,opg,tpg,ipg,clearpg,rpg,ffpg,bcpg,lbpg,aerial_win,duel_win,shot_accuracy,chances_missed
"frozenset({'Willy', 'Caballero'})",Chelsea,Goalkeeper,26,0,,0,597,,0,,,,,,,,,,,,0.0,0.0,,,,2.0,,,,,,120.0,,,,,,,,,,,,,0.0,0.0,22.96153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615384615384615,0.0,0.0,0.0,0.0
"frozenset({'Cahill', 'Gary'})",Chelsea,Defender,347,27,,9,11696,23.0,252,3.0,456.0,434.0,2737.0,1098.0,1343.0,66.0,9.0,,,7.0,37.0,3.0,55.0,76.0,18.0,8.0,1830.0,959.0,1069.0,510.0,17.0,774.0,,,,,,,,,,,,,0.07780979827089338,0.06628242074927954,33.706051873198845,0.025936599423631124,0.1585014409221902,0.7262247838616714,0.008645533141210375,1.314121037463977,1.2507204610951008,7.887608069164265,3.8703170028818445,0.19020172910662825,0.020172910662824207,2.2305475504322767,0.6770107663077898,0.6561491574040875,0.0,0.0
"frozenset({'Cairney', 'Tom'})",Fulham,Midfielder,12,1,10.0,0,527,27.0,11,0.0,21.0,24.0,12.0,1.0,83.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,67.0,,0.0,57.0,50.0,10.0,7.0,22.0,47.0,28.0,186.0,78.0,78.0,49000.0,63.0,72.0,77.0,79.0,60.0,64.0,https://sofifa.com/player/195202/tom-cairney/20/159586,0.08333333333333333,2.25,43.916666666666664,0.0,0.3333333333333333,0.9166666666666666,0.0,1.75,2.0,1.0,6.916666666666667,1.0,0.0,3.9166666666666665,0.5882352941176471,0.5327102803738317,0.2,0.0
"frozenset({'Dominic', 'Calvert-Lewin'})",Everton,Forward,43,5,50.0,6,580,19.0,47,16.0,22.0,15.0,29.0,18.0,,,2.0,18.0,6.0,6.0,5.0,0.0,11.0,,,,,,,,,,22.0,187.0,77.0,83.0,68000.0,84.0,70.0,63.0,75.0,38.0,79.0,https://sofifa.com/player/221479/dominic-calvert-lewin/20/159586,0.11627906976744186,0.4418604651162791,13.488372093023257,0.13953488372093023,0.2558139534883721,1.0930232558139534,0.37209302325581395,0.5116279069767442,0.3488372093023256,0.6744186046511628,0.0,0.0,0.13953488372093023,0.0,0.0,0.0,0.36,0.12
"frozenset({'Sánchez', 'Carlos'})",West Ham United,Midfielder,48,1,30.0,0,2076,10.0,71,0.0,131.0,83.0,67.0,34.0,289.0,32.0,0.0,9.0,0.0,2.0,9.0,1.0,10.0,69.0,,1.0,267.0,229.0,88.0,64.0,40.0,184.0,33.0,182.0,75.0,75.0,57000.0,60.0,58.0,70.0,68.0,74.0,73.0,https://sofifa.com/player/182882/carlos-sanchez/20/159586,0.020833333333333332,0.20833333333333334,43.25,0.0,0.20833333333333334,1.4791666666666667,0.0,2.7291666666666665,1.7291666666666667,1.3958333333333333,6.020833333333333,0.6666666666666666,0.041666666666666664,3.8333333333333335,0.5789473684210527,0.5383064516129032,0.3,0.0
"frozenset({'Andy', 'Carroll'})",West Ham United,Forward,199,53,500.0,18,4342,108.0,289,67.0,93.0,71.0,284.0,162.0,,,24.0,163.0,43.0,26.0,30.0,2.0,98.0,,,,,,,,,,,,75.0,,,,,,,,,,0.2663316582914573,0.542713567839196,21.819095477386934,0.09045226130653267,0.49246231155778897,1.4522613065326633,0.33668341708542715,0.46733668341708545,0.35678391959798994,1.4271356783919598,0.0,0.0,0.1306532663316583,0.0,0.0,0.0,0.326,0.086
"frozenset({'Cech', 'Petr'})",Arsenal,Goalkeeper,437,0,,2,7639,,5,,,,,,,,,,,,7.0,1.0,,,,24.0,,,,,,2108.0,,,,,,,,,,,,,0.0,0.0,17.480549199084667,0.004576659038901602,0.0,0.011441647597254004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823798627002288,0.0,0.0,0.0,0.0
"frozenset({'Cédric', 'Soares'})",Southampton,Defender,87,0,,8,3328,397.0,56,7.0,208.0,110.0,227.0,98.0,437.0,37.0,0.0,,,14.0,13.0,0.0,10.0,74.0,0.0,2.0,375.0,334.0,82.0,150.0,26.0,223.0,27.0,172.0,76.0,77.0,44000.0,77.0,66.0,70.0,76.0,73.0,70.0,https://sofifa.com/player/201118/cedric-ricardo-alves-soares/20/159586,0.0,4.563218390804598,38.252873563218394,0.09195402298850575,0.11494252873563218,0.6436781609195402,0.08045977011494253,2.3908045977011496,1.264367816091954,2.6091954022988504,5.022988505747127,0.42528735632183906,0.16091954022988506,2.5632183908045976,0.35344827586206895,0.5289139633286318,0.0,0.0
"frozenset({'Calum', 'Chambers'})",Fulham,Defender,95,3,,2,3728,162.0,86,2.0,171.0,164.0,394.0,230.0,444.0,60.0,1.0,,,4.0,14.0,1.0,7.0,80.0,1.0,0.0,477.0,403.0,201.0,160.0,20.0,185.0,,,,,,,,,,,,,0.031578947368421054,1.7052631578947368,39.242105263157896,0.021052631578947368,0.07368421052631578,0.9052631578947369,0.021052631578947368,1.8,1.7263157894736842,4.147368421052631,4.673684210526316,0.631578947368421,0.042105263157894736,1.9473684210526316,0.556786703601108,0.5420454545454545,0.0,0.0
frozenset({'Chicharito'}),West Ham United,Forward,132,45,196.0,9,1730,84.0,74,110.0,40.0,28.0,7.0,1.0,,,12.0,97.0,39.0,15.0,11.0,0.0,28.0,,,,,,,,,,,,78.0,,,,,,,,,,0.3409090909090909,0.6363636363636364,13.106060606060606,0.06818181818181818,0.21212121212121213,0.5606060606060606,0.8333333333333334,0.30303030303030304,0.21212121212121213,0.05303030303030303,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.49489795918367346,0.1989795918367347
"frozenset({'Chilwell', 'Ben'})",Leicester City,Defender,37,1,,2,1252,110.0,20,5.0,60.0,52.0,79.0,41.0,189.0,43.0,0.0,,,5.0,3.0,1.0,4.0,73.0,0.0,1.0,236.0,184.0,94.0,79.0,17.0,41.0,22.0,178.0,79.0,85.0,65000.0,78.0,49.0,71.0,77.0,76.0,75.0,https://sofifa.com/player/229984/ben-chilwell/20/159586,0.02702702702702703,2.972972972972973,33.83783783783784,0.05405405405405406,0.10810810810810811,0.5405405405405406,0.13513513513513514,1.6216216216216217,1.4054054054054055,2.135135135135135,5.108108108108108,1.162162162162162,0.13513513513513514,1.1081081081081081,0.5433526011560693,0.5619047619047619,0.0,0.0
"frozenset({'Choudhury', 'Hamza'})",Leicester City,Midfielder,8,0,2.0,1,164,1.0,5,0.0,9.0,8.0,4.0,2.0,22.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,56.0,,0.0,14.0,17.0,0.0,1.0,1.0,12.0,21.0,178.0,74.0,83.0,38000.0,70.0,44.0,61.0,66.0,76.0,75.0,https://sofifa.com/player/228332/hamza-choudhury/20/159586,0.0,0.125,20.5,0.125,0.25,0.625,0.0,1.125,1.0,0.5,2.75,0.0,0.125,1.5,0.0,0.45161290322580644,0.0,0.0
"frozenset({'Christensen', 'Andreas'})",Chelsea,Defender,28,0,,0,1361,0.0,9,1.0,26.0,38.0,104.0,60.0,140.0,,0.0,,,0.0,0.0,0.0,2.0,50.0,0.0,1.0,98.0,42.0,56.0,29.0,0.0,62.0,23.0,187.0,80.0,87.0,85000.0,68.0,31.0,63.0,68.0,82.0,72.0,https://sofifa.com/player/213661/andreas-christensen/20/159586,0.0,0.0,48.607142857142854,0.0,0.07142857142857142,0.32142857142857145,0.03571428571428571,0.9285714285714286,1.3571428571428572,3.7142857142857144,5.0,0.0,0.0,2.2142857142857144,0.6588235294117647,0.7,0.0,0.0
"frozenset({'Cyrus', 'Christie'})",Fulham,Defender,1,0,,0,66,12.0,1,0.0,1.0,1.0,3.0,2.0,2.0,,0.0,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,9.0,0.0,3.0,8.0,2.0,26.0,188.0,71.0,74.0,24000.0,82.0,51.0,64.0,71.0,68.0,73.0,https://sofifa.com/player/200778/cyrus-christie/20/159586,0.0,12.0,66.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.18181818181818182,0.0,0.0
"frozenset({'Clark', 'Ciaran'})",Newcastle United,Defender,154,9,,5,5083,38.0,157,2.0,269.0,282.0,1123.0,511.0,597.0,42.0,7.0,,,10.0,43.0,2.0,16.0,75.0,5.0,4.0,752.0,520.0,355.0,245.0,21.0,329.0,29.0,185.0,75.0,76.0,34000.0,52.0,52.0,53.0,54.0,76.0,73.0,https://sofifa.com/player/183129/ciaran-clark/20/159586,0.05844155844155844,0.24675324675324675,33.006493506493506,0.032467532467532464,0.1038961038961039,1.0194805194805194,0.012987012987012988,1.7467532467532467,1.8311688311688312,7.292207792207792,3.8766233766233764,0.2727272727272727,0.06493506493506493,2.1363636363636362,0.5916666666666667,0.5911949685534591,0.0,0.0
"frozenset({'Clyne', 'Nathaniel'})",Liverpool,Defender,167,4,,9,7210,446.0,92,2.0,434.0,258.0,380.0,94.0,768.0,121.0,0.0,,,15.0,16.0,0.0,29.0,71.0,5.0,3.0,712.0,542.0,60.0,138.0,19.0,236.0,28.0,175.0,78.0,78.0,77000.0,71.0,61.0,70.0,77.0,77.0,69.0,https://sofifa.com/player/190456/nathaniel-clyne/20/159586,0.023952095808383235,2.6706586826347305,43.17365269461078,0.05389221556886228,0.17365269461077845,0.5508982035928144,0.011976047904191617,2.5988023952095807,1.5449101796407185,2.2754491017964074,4.598802395209581,0.7245508982035929,0.08982035928143713,1.4131736526946108,0.30303030303030304,0.5677830940988836,0.0,0.0
"frozenset({'Coady', 'Conor'})",Wolverhampton Wanderers,Defender,2,0,0.0,0,68,0.0,0,0.0,1.0,0.0,2.0,1.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,3.0,1.0,2.0,1.0,0.0,9.0,26.0,186.0,77.0,79.0,65000.0,47.0,59.0,73.0,65.0,78.0,74.0,https://sofifa.com/player/202048/conor-coady/20/159586,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5,0.0,0.0,4.5,0.6666666666666666,0.75,0.0,0.0
"frozenset({'Coleman', 'Seamus'})",Everton,Defender,219,18,,18,6844,613.0,152,25.0,396.0,244.0,431.0,221.0,974.0,303.0,6.0,,,28.0,25.0,1.0,43.0,81.0,7.0,2.0,1052.0,961.0,120.0,167.0,21.0,264.0,,,,,,,,,,,,,0.0821917808219178,2.7990867579908674,31.251141552511417,0.0821917808219178,0.1963470319634703,0.6940639269406392,0.1141552511415525,1.8082191780821917,1.1141552511415524,1.9680365296803652,4.447488584474886,1.3835616438356164,0.1278538812785388,1.2054794520547945,0.4181184668989547,0.5226030799801291,0.0,0.0
"frozenset({'Jack', 'Cork'})",Burnley,Midfielder,198,7,102.0,7,8852,132.0,151,9.0,381.0,345.0,354.0,152.0,1182.0,132.0,3.0,34.0,5.0,7.0,26.0,0.0,28.0,74.0,,1.0,1008.0,967.0,285.0,334.0,16.0,469.0,30.0,184.0,76.0,76.0,34000.0,47.0,62.0,73.0,71.0,76.0,80.0,https://sofifa.com/player/169706/jack-cork/20/159586,0.03535353535353535,0.6666666666666666,44.707070707070706,0.03535353535353535,0.1414141414141414,0.7626262626262627,0.045454545454545456,1.9242424242424243,1.7424242424242424,1.7878787878787878,5.96969696969697,0.6666666666666666,0.03535353535353535,2.3686868686868685,0.4604200323101777,0.5103797468354431,0.3333333333333333,0.049019607843137254
"frozenset({'Aaron', 'Cresswell'})",West Ham United,Defender,137,5,,17,4782,538.0,70,15.0,137.0,172.0,407.0,201.0,587.0,43.0,0.0,,,22.0,15.0,1.0,22.0,66.0,0.0,6.0,451.0,425.0,187.0,148.0,20.0,407.0,29.0,175.0,76.0,76.0,63000.0,71.0,59.0,73.0,75.0,74.0,67.0,https://sofifa.com/player/189615/aaron-cresswell/20/159586,0.0364963503649635,3.927007299270073,34.90510948905109,0.12408759124087591,0.16058394160583941,0.5109489051094891,0.10948905109489052,1.0,1.2554744525547445,2.9708029197080292,4.2846715328467155,0.31386861313868614,0.16058394160583941,2.9708029197080292,0.5582089552238806,0.5148401826484018,0.0,0.0
"frozenset({'Josh', 'Cullen'})",West Ham United,Midfielder,3,0,0.0,0,4,0.0,0,0.0,0.0,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,71.0,,,,,,,,,,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozenset({'Danilo'}),Manchester City,Defender,23,3,,2,1111,24.0,12,0.0,43.0,19.0,28.0,11.0,65.0,8.0,0.0,,,0.0,2.0,0.0,2.0,67.0,0.0,0.0,77.0,42.0,16.0,6.0,13.0,33.0,,,,,,,,,,,,,0.13043478260869565,1.0434782608695652,48.30434782608695,0.08695652173913043,0.08695652173913043,0.5217391304347826,0.0,1.8695652173913044,0.8260869565217391,1.2173913043478262,2.8260869565217392,0.34782608695652173,0.0,1.434782608695652,0.7272727272727273,0.6470588235294118,0.0,0.0
"frozenset({'Scott', 'Dann'})",Crystal Palace,Defender,200,15,,9,5527,22.0,136,10.0,277.0,322.0,1420.0,603.0,680.0,38.0,9.0,,,9.0,33.0,0.0,25.0,60.0,5.0,5.0,918.0,628.0,536.0,391.0,27.0,613.0,32.0,188.0,75.0,75.0,42000.0,32.0,40.0,48.0,47.0,76.0,65.0,https://sofifa.com/player/157665/scott-dann/20/159586,0.075,0.11,27.635,0.045,0.125,0.68,0.05,1.385,1.61,7.1,3.4,0.19,0.045,3.065,0.5782092772384034,0.5937904269081501,0.0,0.0
"frozenset({'Danny', 'Ings'})",Southampton,Forward,50,14,118.0,4,889,51.0,37,25.0,35.0,23.0,14.0,8.0,,,5.0,43.0,9.0,7.0,7.0,0.0,26.0,,,,,,,,,,26.0,178.0,76.0,77.0,53000.0,75.0,74.0,64.0,76.0,32.0,66.0,https://sofifa.com/player/195859/danny-ings/20/159586,0.28,1.02,17.78,0.08,0.52,0.74,0.5,0.7,0.46,0.28,0.0,0.0,0.14,0.0,0.0,0.0,0.3644067796610169,0.07627118644067797
"frozenset({'Darlow', 'Karl'})",Newcastle United,Goalkeeper,19,0,,0,512,,0,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,158.0,28.0,190.0,73.0,75.0,24000.0,,,,,,,https://sofifa.com/player/193331/karl-darlow/20/159586,0.0,0.0,26.94736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31578947368421,0.0,0.0,0.0,0.0
"frozenset({'Darmian', 'Matteo'})",Manchester United,Defender,55,1,,0,1759,78.0,52,5.0,147.0,90.0,149.0,56.0,195.0,15.0,0.0,,,4.0,11.0,0.0,0.0,77.0,0.0,0.0,254.0,199.0,52.0,34.0,17.0,70.0,29.0,182.0,75.0,75.0,79000.0,69.0,58.0,66.0,73.0,77.0,67.0,https://sofifa.com/player/184392/matteo-darmian/20/159586,0.01818181818181818,1.4181818181818182,31.98181818181818,0.0,0.0,0.9454545454545454,0.09090909090909091,2.672727272727273,1.6363636363636365,2.709090909090909,3.5454545454545454,0.2727272727272727,0.07272727272727272,1.2727272727272727,0.6046511627906976,0.5607064017660044,0.0,0.0
"frozenset({'Luiz', 'David'})",Chelsea,Defender,125,8,,4,5836,58.0,149,4.0,172.0,278.0,566.0,288.0,719.0,66.0,2.0,,,9.0,33.0,1.0,41.0,76.0,3.0,1.0,591.0,473.0,213.0,145.0,26.0,612.0,,,,,,,,,,,,,0.064,0.464,46.688,0.032,0.328,1.192,0.032,1.376,2.224,4.528,5.752,0.528,0.072,4.896,0.5949720670391061,0.5554511278195489,0.0,0.0
"frozenset({'Davies', 'Tom'})",Everton,Midfielder,59,4,36.0,4,1523,29.0,65,7.0,67.0,47.0,28.0,16.0,209.0,43.0,0.0,8.0,2.0,3.0,11.0,0.0,15.0,70.0,,0.0,219.0,289.0,29.0,63.0,17.0,56.0,21.0,185.0,75.0,82.0,46000.0,66.0,62.0,73.0,76.0,65.0,69.0,https://sofifa.com/player/230005/tom-davies/20/159586,0.06779661016949153,0.4915254237288136,25.8135593220339,0.06779661016949153,0.2542372881355932,1.1016949152542372,0.11864406779661017,1.1355932203389831,0.7966101694915254,0.4745762711864407,3.542372881355932,0.7288135593220338,0.05084745762711865,0.9491525423728814,0.31521739130434784,0.4311023622047244,0.2222222222222222,0.05555555555555555
"frozenset({'Steven', 'Davis'})",Southampton,Midfielder,303,17,176.0,19,10530,558.0,156,21.0,439.0,232.0,293.0,106.0,1271.0,113.0,1.0,44.0,12.0,27.0,20.0,0.0,55.0,78.0,,2.0,741.0,938.0,81.0,193.0,28.0,613.0,,,74.0,,,,,,,,,,0.056105610561056105,1.8415841584158417,34.75247524752475,0.0627062706270627,0.18151815181518152,0.5148514851485149,0.06930693069306931,1.448844884488449,0.7656765676567657,0.966996699669967,4.194719471947194,0.37293729372937295,0.0891089108910891,2.0231023102310233,0.2956204379562044,0.44133412745681955,0.25,0.06818181818181818
"frozenset({'Bruyne', 'Kevin', 'De'})",Manchester City,Midfielder,102,21,234.0,44,5723,710.0,86,12.0,142.0,67.0,33.0,14.0,554.0,153.0,0.0,87.0,9.0,53.0,10.0,0.0,59.0,73.0,,1.0,427.0,557.0,41.0,75.0,27.0,269.0,28.0,181.0,91.0,91.0,370000.0,76.0,86.0,92.0,86.0,61.0,78.0,https://sofifa.com/player/192985/kevin-de-bruyne/20/159586,0.20588235294117646,6.96078431372549,56.1078431372549,0.43137254901960786,0.5784313725490197,0.8431372549019608,0.11764705882352941,1.392156862745098,0.6568627450980392,0.3235294117647059,5.431372549019608,1.5,0.5196078431372549,2.6372549019607843,0.35344827586206895,0.4339430894308943,0.3717948717948718,0.038461538461538464
"frozenset({'De', 'Gea', 'David'})",Manchester United,Goalkeeper,238,0,,0,5266,,0,,,,,,,,,,,,3.0,0.0,,,,6.0,,,,,,1546.0,28.0,192.0,89.0,90.0,205000.0,,,,,,,https://sofifa.com/player/193080/david-de-gea-quintana/20/159586,0.0,0.0,22.126050420168067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.495798319327731,0.0,0.0,0.0,0.0
"frozenset({'Steven', 'Defour'})",Burnley,Midfielder,45,2,27.0,4,1534,103.0,27,2.0,52.0,78.0,29.0,3.0,247.0,27.0,0.0,13.0,1.0,1.0,7.0,0.0,7.0,71.0,,0.0,100.0,126.0,6.0,23.0,32.0,112.0,31.0,175.0,78.0,78.0,39000.0,60.0,71.0,78.0,76.0,74.0,68.0,https://sofifa.com/player/170815/steven-defour/20/159586,0.044444444444444446,2.2888888888888888,34.08888888888889,0.08888888888888889,0.15555555555555556,0.6,0.044444444444444446,1.1555555555555554,1.7333333333333334,0.6444444444444445,5.488888888888889,0.6,0.022222222222222223,2.488888888888889,0.20689655172413793,0.4424778761061947,0.48148148148148145,0.037037037037037035
"frozenset({'Daniel', 'Drinkwater'})",Chelsea,Midfielder,99,4,93.0,8,5058,102.0,142,1.0,257.0,143.0,159.0,93.0,799.0,71.0,0.0,17.0,5.0,11.0,10.0,1.0,29.0,70.0,,1.0,462.0,522.0,84.0,124.0,20.0,303.0,,,75.0,,,,,,,,,,0.04040404040404041,1.0303030303030303,51.09090909090909,0.08080808080808081,0.29292929292929293,1.4343434343434343,0.010101010101010102,2.595959595959596,1.4444444444444444,1.606060606060606,8.070707070707071,0.7171717171717171,0.1111111111111111,3.0606060606060606,0.40384615384615385,0.4695121951219512,0.1827956989247312,0.053763440860215055
"frozenset({'Dubravka', 'Martin'})",Newcastle United,Goalkeeper,12,0,,0,355,,0,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,79.0,,,,,,,,,,,,,0.0,0.0,29.583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583333333333333,0.0,0.0,0.0,0.0
"frozenset({'Duffy', 'Shane'})",Brighton and Hove Albion,Defender,43,0,,1,1462,3.0,35,7.0,34.0,59.0,357.0,247.0,170.0,6.0,0.0,,,2.0,8.0,0.0,5.0,62.0,0.0,1.0,268.0,141.0,209.0,97.0,67.0,146.0,,,,,,,,,,,,,0.0,0.06976744186046512,34.0,0.023255813953488372,0.11627906976744186,0.813953488372093,0.16279069767441862,0.7906976744186046,1.372093023255814,8.30232558139535,3.953488372093023,0.13953488372093023,0.046511627906976744,3.395348837209302,0.6830065359477124,0.6552567237163814,0.0,0.0
"frozenset({'Dummett', 'Paul'})",Newcastle United,Defender,86,2,,0,2645,156.0,43,0.0,156.0,118.0,425.0,246.0,257.0,18.0,0.0,,,3.0,9.0,1.0,8.0,79.0,1.0,2.0,428.0,249.0,219.0,141.0,19.0,157.0,27.0,183.0,75.0,76.0,32000.0,66.0,40.0,63.0,67.0,76.0,72.0,https://sofifa.com/player/204355/paul-dummett/20/159586,0.023255813953488372,1.813953488372093,30.75581395348837,0.0,0.09302325581395349,0.5,0.0,1.813953488372093,1.372093023255814,4.941860465116279,2.988372093023256,0.20930232558139536,0.03488372093023256,1.8255813953488371,0.6083333333333333,0.6322008862629247,0.0,0.0
"frozenset({'Dunk', 'Lewis'})",Brighton and Hove Albion,Defender,39,1,,1,1541,7.0,37,0.0,68.0,73.0,228.0,132.0,260.0,10.0,0.0,,,1.0,7.0,0.0,9.0,50.0,1.0,0.0,221.0,145.0,128.0,75.0,29.0,170.0,,,,,,,,,,,,,0.02564102564102564,0.1794871794871795,39.51282051282051,0.02564102564102564,0.23076923076923078,0.9487179487179487,0.0,1.7435897435897436,1.8717948717948718,5.846153846153846,6.666666666666667,0.2564102564102564,0.02564102564102564,4.358974358974359,0.6305418719211823,0.6038251366120219,0.0,0.0
frozenset({'Ederson'}),Manchester City,Goalkeeper,37,0,,0,965,,0,,,,,,,,,,,,1.0,0.0,,,,2.0,,,,,,149.0,25.0,188.0,88.0,91.0,185000.0,,,,,,,https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586,0.0,0.0,26.08108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027027027027027,0.0,0.0,0.0,0.0
"frozenset({'Elliot', 'Robert'})",Newcastle United,Goalkeeper,52,0,,1,1461,,1,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,508.0,,,,,,,,,,,,,0.0,0.0,28.096153846153847,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76923076923077,0.0,0.0,0.0,0.0
"frozenset({'Mohamed', 'Elyounoussi'})",Southampton,Midfielder,1,0,2.0,0,14,7.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,3.0,4.0,1.0,1.0,57.0,0.0,24.0,178.0,76.0,79.0,42000.0,78.0,71.0,75.0,76.0,39.0,63.0,https://sofifa.com/player/203362/mohamed-elyounoussi/20/159586,0.0,7.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0
frozenset({'Emerson'}),Chelsea,Defender,5,0,,1,131,15.0,3,0.0,6.0,2.0,9.0,5.0,17.0,,0.0,,,0.0,0.0,0.0,0.0,67.0,0.0,0.0,19.0,9.0,3.0,1.0,13.0,4.0,24.0,175.0,77.0,82.0,68000.0,79.0,59.0,68.0,78.0,74.0,62.0,https://sofifa.com/player/210736/emerson-palmieri-dos-santos/20/159586,0.0,3.0,26.2,0.2,0.0,0.6,0.0,1.2,0.4,1.8,3.4,0.0,0.0,0.8,0.75,0.6785714285714286,0.0,0.0
"frozenset({'Eriksen', 'Christian'})",Tottenham Hotspur,Midfielder,171,41,477.0,48,9217,1040.0,73,3.0,219.0,132.0,95.0,31.0,924.0,162.0,1.0,175.0,16.0,60.0,9.0,0.0,161.0,74.0,,0.0,568.0,848.0,88.0,145.0,21.0,436.0,27.0,181.0,88.0,89.0,205000.0,73.0,81.0,90.0,84.0,53.0,63.0,https://sofifa.com/player/190460/christian-eriksen/20/159586,0.23976608187134502,6.081871345029239,53.900584795321635,0.2807017543859649,0.9415204678362573,0.4269005847953216,0.017543859649122806,1.280701754385965,0.7719298245614035,0.5555555555555556,5.4035087719298245,0.9473684210526315,0.3508771929824561,2.5497076023391814,0.3776824034334764,0.4011299435028249,0.3668763102725367,0.033542976939203356
"frozenset({'Jonny', 'Evans'})",Leicester City,Defender,235,9,,8,9720,50.0,183,1.0,385.0,495.0,1526.0,614.0,1244.0,80.0,6.0,,,5.0,34.0,2.0,18.0,74.0,3.0,5.0,1097.0,637.0,442.0,290.0,36.0,822.0,31.0,188.0,79.0,79.0,76000.0,56.0,32.0,59.0,53.0,80.0,75.0,https://sofifa.com/player/169588/jonny-evans/20/159586,0.03829787234042553,0.2127659574468085,41.361702127659576,0.03404255319148936,0.07659574468085106,0.7787234042553192,0.00425531914893617,1.6382978723404256,2.106382978723404,6.493617021276596,5.293617021276596,0.3404255319148936,0.02127659574468085,3.497872340425532,0.6038251366120219,0.6326412918108419,0.0,0.0
"frozenset({'Fabianski', 'Lukasz'})",West Ham United,Goalkeeper,182,0,,2,4655,,5,,,,,,,,,,,,3.0,1.0,,,,13.0,,,,,,1366.0,,,,,,,,,,,,,0.0,0.0,25.576923076923077,0.01098901098901099,0.0,0.027472527472527472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5054945054945055,0.0,0.0,0.0,0.0
"frozenset({'Fàbregas', 'Cesc'})",Chelsea,Midfielder,344,50,538.0,111,18994,1292.0,278,23.0,657.0,291.0,220.0,54.0,1393.0,251.0,1.0,188.0,13.0,62.0,70.0,3.0,161.0,74.0,,1.0,1376.0,1435.0,104.0,180.0,25.0,1356.0,,,78.0,,,,,,,,,,0.14534883720930233,3.755813953488372,55.21511627906977,0.3226744186046512,0.4680232558139535,0.8081395348837209,0.06686046511627906,1.9098837209302326,0.8459302325581395,0.6395348837209303,4.049418604651163,0.7296511627906976,0.18023255813953487,3.941860465116279,0.36619718309859156,0.4895055140519388,0.34944237918215615,0.024163568773234202
frozenset({'Fabri'}),Fulham,Goalkeeper,1,0,,0,19,,0,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,4.0,,,,,,,,,,,,,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"frozenset({'Alli', 'Dele'})",Tottenham Hotspur,Midfielder,106,38,239.0,26,3699,60.0,143,22.0,172.0,91.0,69.0,40.0,530.0,126.0,6.0,91.0,26.0,32.0,18.0,0.0,68.0,70.0,,1.0,604.0,814.0,82.0,124.0,12.0,126.0,,,83.0,,,,,,,,,,0.3584905660377358,0.5660377358490566,34.89622641509434,0.24528301886792453,0.6415094339622641,1.349056603773585,0.20754716981132076,1.6226415094339623,0.8584905660377359,0.6509433962264151,5.0,1.1886792452830188,0.3018867924528302,1.1886792452830188,0.39805825242718446,0.42595204513399154,0.3807531380753138,0.1087866108786611
